,Dep_Airport,mean_arr_delay,Mkt_Ccode,Mkt_Fl_No,Arr_Airport_x,Date,Day_Week,Sched_Dep_Time_OAG,Gate_Dep_Time_Actual,Sched_Arr_Time_OAG,Gate_Arr_Time_Actual,Sched_Elapsed_Time_CRS,Actual_Gate_Gate_Time,Dep_Delay_Time_Actual,Arr_Delay_Time_Actual,Elapsed_Time_Diff_Actual,Wheels_Off_Time_Actual,Wheels_On_Time_Actual,Tail_Number,Cancel_Code,Mins_Late_Delay_Code_E_Carrier,Mins_Late_Delay_Code_F_Weather,Mins_Late_Delay_Code_G_NAS,Mins_Late_Delay_Code_H_Security,Mins_Late_Delay_Code_I_Late_Arr_Flight,First_Gate_Dep_Time,Total_Ground_Away_From_Gate,Longest_Ground_Time_Away_From_Gate,No_Landings_At_Div_Airport,month,Arr_Delay_Time_Actual_Flag,Sched_Dep_Time_OAG_Block,Airport Name_x,city_name,Country name_x,Arr_Airport_y,lat,lng,City name_y,Airport Code,Airport Name_y,country_name,Country Abbrev.,World Area Code,Arr_Airport
98932,LAS,-2.998700876908087,WN,3389.0,BUR,20180107,sun,2055,2104,2155,2208,60,64,9,13,4,2118,2206,N754SW,,0,0,0,0,0,0,0,0,0,jan,1,evening,McCarran International Airport,Las Vegas,United States,LAS,36.08010101,-115.15200039999999,Las Vegas,LAS,Mccarran Intl,United States,US,67,LAS
102011,LAX,-7.792589344442009,AA,1835.0,PHX,20180217,sat,1830,1824,2116,2052,106,88,-6,-24,-18,1842,2043,N756US,,0,0,0,0,0,0,0,0,0,feb,0,evening,Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.40799709999999,Los Angeles,LAX,Los Angeles International,United States,US,67,LAX
106572,LBB,7.310344827586207,WN,2778.0,DAL,20180106,sat,1500,1453,1605,1551,65,58,-7,-14,-7,1459,1547,N7743B,,0,0,0,0,0,0,0,0,0,jan,0,late_afternoon,Lubbock Preston Smith International Airport,Lubbock,United States,LBB,33.663601,-101.822998,Lubbock,LBB,International,United States,US,67,LBB
106746,LEX,2.258241758241758,DL,4054.0,ATL,20180227,tue,1959,1950,2130,2111,91,81,-9,-19,-10,2003,2102,N8908D,,0,0,0,0,0,0,0,0,0,feb,0,evening,Blue Grass Airport,Lexington KY,United States,LEX,38.03649902,-84.60590363,Lexington,LEX,Blue Grass,United States,US,67,LEX
106928,LFT,7.205882352941177,UA,3664.0,IAH,20180111,thu,1750,1825,1900,1947,70,82,35,47,12,1840,1926,N633RW,,0,0,47,0,0,0,0,0,0,jan,1,late_afternoon,Lafayette Regional Airport,Lafayette,United States,LFT,30.20529938,-91.98760223,New Iberia,LFT,Lafayette Regional,United States,US,67,LFT
106996,LGA,2.7149970708845927,DL,3458.0,MKE,20180226,mon,705,704,846,837,161,153,-1,-9,-8,733,831,N915XJ,,0,0,0,0,0,0,0,0,0,feb,0,morning,La Guardia Airport,New York,United States,LGA,40.77719879,-73.87259674,New York,LGA,La Guardia,United States,US,67,LGA
113824,LGB,3.8979591836734695,B6,1936.0,SFO,20180222,thu,1240,1246,1411,1420,91,94,6,9,3,1301,1415,N595JB,,0,0,0,0,0,0,0,0,0,feb,1,early_afternoon,Long Beach /Daugherty Field/ Airport,Long Beach,United States,LGB,33.81769943,-118.15200039999999,Long Beach,LGB,Long Beach Municipal,United States,US,67,LGB
114559,LIH,-6.450980392156863,AS,868.0,OAK,20180225,sun,1510,1504,2213,2220,303,316,-6,7,13,1515,2214,N513AS,,0,0,0,0,0,0,0,0,0,feb,1,late_afternoon,Lihue Airport,Lihue,United States,LIH,21.97599983,-159.3390045,Kauai Island,LIH,Lihue,United States,US,67,LIH
114763,LIT,-0.017699115044247787,UA,6132.0,IAH,20180118,thu,925,921,1100,1108,95,107,-4,8,12,956,1059,N88326,,0,0,0,0,0,0,0,0,0,jan,1,late_morning,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,United States,LIT,34.72940063,-92.22429657,Little Rock,LIT,Regional Airport,United States,US,67,LIT
114876,LNK,14.102941176470589,UA,3888.0,ORD,20180115,mon,1445,1521,1629,1654,104,93,36,25,-11,1528,1642,N457AW,,1,0,0,0,24,0,0,0,0,jan,1,early_afternoon,Lincoln Airport,Lincoln,United States,LNK,40.85100174,-96.75920105,Lincoln,LNK,Municipal,United States,US,67,LNK
115012,MAF,-0.9146005509641874,UA,3442.0,IAH,20180118,thu,525,523,655,655,90,92,-2,0,2,539,646,N746YX,,0,0,0,0,0,0,0,0,0,jan,0,early_morning,Midland International Airport,Midland,United States,MAF,31.94249916,-102.2020035,Midland,MAF,Odessa Regional,United States,US,67,MAF
115375,MBS,-7.45,DL,3407.0,DTW,20180214,wed,535,533,640,628,65,55,-2,-12,-10,556,618,N601LR,,0,0,0,0,0,0,0,0,0,feb,0,early_morning,MBS International Airport,Saginaw,United States,MBS,43.53290176,-84.07959747,Saginaw,MBS,Tri City,United States,US,67,MBS
115415,MCI,2.9093982420554427,AA,4604.0,DCA,20180125,thu,545,538,915,905,150,147,-7,-10,-3,551,857,N124HQ,,0,0,0,0,0,0,0,0,0,jan,0,early_morning,Kansas City International Airport,Kansas City,United States,MCI,39.2976,-94.713898,Kansas City,MCI,Kansas City International Airport,United States,US,67,MCI
116894,MCO,-0.28520499108734404,B6,846.0,SWF,20180212,mon,1352,1448,1636,1713,164,145,56,37,-19,1500,1707,N374JB,,37,0,0,0,0,1342,20,20,0,feb,1,early_afternoon,Orlando International Airport,Orlando,United States,MCO,28.42939949,-81.30899811,Orlando,MCO,International,United States,US,67,MCO
120260,MDT,-11.014285714285714,UA,3822.0,IAD,20180124,wed,615,623,718,706,63,43,8,-12,-20,633,700,N438AW,,0,0,0,0,0,0,0,0,0,jan,0,morning,Harrisburg International Airport,Harrisburg,United States,MDT,40.19350052,-76.76339722,Harrisburg,MDT,Harrisburg Intl,United States,US,67,MDT
120400,MDW,-0.22919179734620024,WN,3430.0,DCA,20180120,sat,1610,1605,1850,1832,100,87,-5,-18,-13,1612,1828,N233LV,,0,0,0,0,0,0,0,0,0,jan,0,late_afternoon,Chicago Midway International Airport,Chicago,United States,MDW,41.785999,-87.752403,Chicago,MDW,Midway,United States,US,67,MDW
122058,MEM,3.2527624309392267,AA,5876.0,PHX,20180129,mon,1430,1449,1713,1657,223,188,19,-16,-35,1457,1653,N926LR,,0,0,0,0,0,0,0,0,0,jan,0,early_afternoon,Memphis International Airport,Memphis,United States,MEM,35.04240036,-89.97669983,Memphis,MEM,International,United States,US,67,MEM
122782,MFE,5.203592814371257,AA,5921.0,DFW,20180129,mon,1115,1114,1248,1243,93,89,-1,-5,-4,1125,1237,N326MS,,0,0,0,0,0,0,0,0,0,jan,0,late_morning,Mc Allen Miller International Airport,Mcallen,United States,MFE,26.17580032,-98.23860168,Mission,MFE,Mission,United States,US,67,MFE
122949,MGM,-0.3877551020408163,AA,5886.0,DFW,20180122,mon,550,549,804,807,134,138,-1,3,4,602,752,N957LR,,0,0,0,0,0,0,0,0,0,jan,1,early_morning,Montgomery Regional (Dannelly Field) Airport,MONTGOMERY,United States,MGM,32.30059814,-86.39399719,Montgomery,MGM,Dannelly Fld,United States,US,67,MGM
122998,MHT,1.1399416909620992,DL,3773.0,LGA,20180208,thu,554,541,729,701,95,80,-13,-28,-15,601,657,N8969A,,0,0,0,0,0,0,0,0,0,feb,0,early_morning,Manchester-Boston Regional Airport,Manchester NH,United States,MHT,42.932598,-71.435699,Manchester,MHT,Municipal,United States,US,67,MHT
123341,MIA,-3.5653343581860106,AA,4545.0,BNA,20180111,thu,1110,1108,1240,1225,150,137,-2,-15,-13,1124,1219,N411YX,,0,0,0,0,0,0,0,0,0,jan,0,late_morning,Miami International Airport,Miami,United States,MIA,25.79319954,-80.29060364,Miami,MIA,Miami International Airport,United States,US,67,MIA
128545,MKE,5.350259067357513,UA,3768.0,ORD,20180119,fri,1035,1100,1131,1149,56,49,25,18,-7,1117,1144,N464AW,,18,0,0,0,0,0,0,0,0,jan,1,late_morning,General Mitchell International Airport,Milwaukee,United States,MKE,42.94720078,-87.89659882,Milwaukee,MKE,General Mitchell,United States,US,67,MKE
129510,MLI,6.510489510489511,UA,4745.0,ORD,20180204,sun,1355,0,1459,0,64,0,0,0,0,0,0,,B,0,0,0,0,0,0,0,0,0,feb,0,early_afternoon,Quad City International Airport,Moline,United States,MLI,41.44850159,-90.50749969,Moline,MLI,Quad-City,United States,US,67,MLI
129653,MOB,6.388888888888889,AA,5734.0,DFW,20180106,sat,600,556,757,846,117,170,-4,49,53,646,813,N242LR,,0,0,49,0,0,0,0,0,0,jan,1,morning,Mobile Regional Airport,Mobile,United States,MOB,30.69120026,-88.24279785,Mobile,MOB,Mobile Regional Arpt,United States,US,67,MOB
129725,MOT,-21.65714285714286,DL,3369.0,MSP,20180207,wed,1655,1705,1835,1821,100,76,10,-14,-24,1714,1816,N228PQ,,0,0,0,0,0,0,0,0,0,feb,0,late_afternoon,Minot International Airport,Minot,United States,MOT,48.25939941,-101.2799988,Minot,MOT,International,United States,US,67,MOT
129760,MRY,12.307692307692308,AA,5755.0,PHX,20180112,fri,1609,1656,1910,2000,121,124,47,50,3,1713,1940,N915FJ,,0,0,50,0,0,0,0,0,0,jan,1,late_afternoon,Monterey Peninsula Airport,Monterey,United States,MRY,36.587001799999996,-121.84300230000001,Monterey,MRY,Monterey Peninsula,United States,US,67,MRY
129851,MSN,8.422360248447205,DL,5998.0,DCA,20180131,wed,1715,1704,2019,1945,124,101,-11,-34,-23,1715,1940,N815MD,,0,0,0,0,0,0,0,0,0,jan,0,late_afternoon,Dane County Regional Truax Field,Madison,United States,MSN,43.13990021,-89.33750153,Madison,MSN,Dane County Regional,United States,US,67,MSN
130012,MSO,6.43298969072165,UA,4692.0,DEN,20180208,thu,1435,1425,1638,1607,123,102,-10,-31,-21,1434,1603,N11119,,0,0,0,0,0,0,0,0,0,feb,0,early_afternoon,Missoula International Airport,Missoula,United States,MSO,46.91630173,-114.0910034,Missoula,MSO,Johnson-Bell Field,United States,US,67,MSO
130109,MSP,11.29443447037702,DL,3797.0,SAT,20180215,thu,1322,1356,1640,1658,198,182,34,18,-16,1414,1655,N602LR,,0,0,0,0,18,0,0,0,0,feb,1,early_afternoon,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,MSP,44.882,-93.221802,Minneapolis,MSP,St Paul Intl,United States,US,67,MSP
132337,MSY,4.444299674267101,WN,4125.0,SAN,20180120,sat,1005,1004,1215,1158,250,234,-1,-17,-16,1016,1155,N968WN,,0,0,0,0,0,0,0,0,0,jan,0,late_morning,Louis Armstrong New Orleans International Airport,New Orleans,United States,MSY,29.99340057,-90.25800323,New Orleans,MSY,Louis Armstrong New Orleans International Airport,United States,US,67,MSY
133872,MTJ,13.31496062992126,UA,4744.0,DEN,20180215,thu,925,924,1039,1013,74,49,-1,-26,-25,933,1004,N12136,,0,0,0,0,0,0,0,0,0,feb,0,late_morning,Montrose Regional Airport,Montrose CO,United States,MTJ,38.50979996,-107.8939972,Montrose,MTJ,Montrose County,United States,US,67,MTJ
133999,MYR,-2.4583333333333335,AA,5903.0,DFW,20180104,thu,1125,0,1345,0,200,0,0,0,0,0,0,N920FJ,B,0,0,0,0,0,0,0,0,0,jan,0,late_morning,Myrtle Beach International Airport,Myrtle Beach,United States,MYR,33.67969894,-78.92829895,Myrtle Beach,MYR,Myrtle Beach AFB,United States,US,67,MYR
134023,OAJ,-4.121951219512195,DL,3311.0,ATL,20180224,sat,550,545,733,714,103,89,-5,-19,-14,604,706,N294PQ,,0,0,0,0,0,0,0,0,0,feb,0,early_morning,Albert J Ellis Airport,Jacksonville NC,United States,OAJ,34.82920074,-77.61209869,Jacksonville,OAJ,Albert J Ellis,United States,US,67,OAJ
134105,OAK,-2.7509349289454,WN,2574.0,BUR,20180121,sun,1935,1931,2040,2030,65,59,-4,-10,-6,1941,2028,N7832A,,0,0,0,0,0,0,0,0,0,jan,0,evening,Metropolitan Oakland International Airport,Oakland,United States,OAK,37.721298,-122.221001,Oakland,OAK,Metropolitan Oak Intl,United States,US,67,OAK
135442,OGG,-2.749185667752443,AS,862.0,PDX,20180214,wed,1300,1241,2014,2016,314,335,-19,2,21,1256,2013,N588AS,,0,0,0,0,0,0,0,0,0,feb,1,early_afternoon,Kahului Airport,Kahului,United States,OGG,20.8986,-156.429993,Kahului,OGG,Kahului,United States,US,67,OGG
135749,OKC,4.2311643835616435,UA,6075.0,IAD,20180103,wed,750,746,1137,1133,167,167,-4,-4,0,757,1129,N80343,,0,0,0,0,0,0,0,0,0,jan,0,morning,Will Rogers World Airport,Oklahoma City,United States,OKC,35.39310074,-97.60070038,Oklahoma City,OKC,Will Rogers World,United States,US,67,OKC
136333,OMA,3.822495606326889,WN,3670.0,DEN,20180106,sat,1840,1913,1920,1944,100,91,33,24,-9,1921,1938,N8670A,,0,0,0,0,24,0,0,0,0,jan,1,evening,Eppley Airfield,Omaha,United States,OMA,41.3032,-95.89409599999999,Omaha,OMA,Eppley Airfield,United States,US,67,OMA
136902,OME,7.681818181818182,AS,153.0,ANC,20180204,sun,2030,2027,2155,2148,85,81,-3,-7,-4,2030,2144,N562AS,,0,0,0,0,0,0,0,0,0,feb,0,evening,Nome Airport,Nome,United States,OME,64.5121994,-165.44500730000001,Nome,OME,Nome,United States,US,67,OME
136968,ONT,-0.06589785831960461,AA,1878.0,PHX,20180225,sun,1608,1611,1840,1819,92,68,3,-21,-24,1624,1815,N801AW,,0,0,0,0,0,0,0,0,0,feb,0,late_afternoon,Ontario International Airport,Ontario,United States,ONT,34.05599976,-117.60099790000001,Ontario,ONT,International,United States,US,67,ONT
137575,ORD,13.138494167550371,AA,1487.0,DEN,20180203,sat,2015,2023,2157,2152,162,149,8,-5,-13,2037,2144,N891NN,,0,0,0,0,0,0,0,0,0,feb,0,evening,Chicago O'Hare International Airport,Chicago,United States,ORD,41.9786,-87.9048,Chicago,ORD,Ohare International,United States,US,1,ORD
147005,ORF,5.909199522102748,AA,4205.0,PHL,20180129,mon,615,603,727,715,72,72,-12,-12,0,617,706,N452AW,,0,0,0,0,0,0,0,0,0,jan,0,morning,Norfolk International Airport,Norfolk,United States,ORF,36.89459991,-76.20120239,Norfolk,ORF,International,United States,US,67,ORF
147842,ORH,27.53846153846154,B6,1887.0,MCO,20180224,sat,1653,1638,2006,1932,193,174,-15,-34,-19,1647,1919,N358JB,,0,0,0,0,0,0,0,0,0,feb,0,late_afternoon,Worcester Regional Airport,Worcester,United States,ORH,42.26729965,-71.87570190000001,Worcester,ORH,Worcester,United States,US,67,ORH
147881,OTZ,-4.072727272727272,AS,154.0,ANC,20180219,mon,834,821,1005,1009,91,108,-13,4,17,842,1000,N611AS,,0,0,0,0,0,0,0,0,0,feb,1,morning,Ralph Wien Memorial Airport,Kotzebue,United States,OTZ,66.88469696,-162.598999,Kotzebue,OTZ,Kotzebue,United States,US,67,OTZ
147936,PBI,1.0789229340761375,AA,1423.0,DFW,20180218,sun,715,710,934,919,199,189,-5,-15,-10,722,900,N914NN,,0,0,0,0,0,0,0,0,0,feb,0,morning,Palm Beach International Airport,West Palm Beach,United States,PBI,26.68320084,-80.09559631,West Palm Beach,PBI,International,United States,US,67,PBI
149013,PDX,-7.892093485827946,AS,782.0,MCO,20180219,mon,630,621,1455,1518,325,357,-9,23,32,654,1512,N278AK,,0,0,23,0,0,0,0,0,0,feb,1,morning,Portland International Airport,Portland,United States,PDX,45.58869934,-122.59799960000001,Portland,PDX,Portland International,United States,US,67,PDX
151024,PHF,-1.0,AA,4716.0,CLT,20180105,fri,525,0,650,0,85,0,0,0,0,0,0,N115HQ,B,0,0,0,0,0,0,0,0,0,jan,0,early_morning,Newport News Williamsburg International Airport,Newport News,United States,PHF,37.13190079,-76.49299622,Williamsburg,PHF,Newport News/Williamsb,United States,US,67,PHF
151030,PHL,5.377366930073058,AA,706.0,SEA,20180226,mon,1830,1834,2150,2153,380,379,4,3,-1,1905,2138,N922US,,0,0,0,0,0,0,0,0,0,feb,1,evening,Philadelphia International Airport,Philadelphia,United States,PHL,39.87189865,-75.2410965,Philadelphia,PHL,Philadelphia International,United States,US,67,PHL
157737,PHX,0.1621091194557111,B6,602.0,BOS,20180213,tue,2359,5,643,613,284,248,6,-30,-36,15,609,N763JB,,0,0,0,0,0,0,0,0,0,feb,0,late_evening,Phoenix Sky Harbor International Airport,Phoenix,United States,PHX,33.43429947,-112.012001,Phoenix,PHX,Sky Harbor Intl,United States,US,67,PHX
165380,PIA,23.037735849056602,DL,3387.0,ATL,20180223,fri,1105,1059,1400,1341,115,102,-6,-19,-13,1109,1335,N832AY,,0,0,0,0,0,0,0,0,0,feb,0,late_morning,General Wayne A. Downing Peoria International Airport,Peoria,United States,PIA,40.66419983,-89.69329834,Peoria,PIA,Greater Peoria,United States,US,67,PIA
165592,PIT,2.0943775100401605,DL,3712.0,JFK,20180220,tue,1600,1634,1741,1800,101,86,34,19,-15,1646,1750,N921XJ,,0,0,0,0,19,0,0,0,0,feb,1,late_afternoon,Pittsburgh International Airport,Pittsburgh,United States,PIT,40.49150085,-80.23290253,Pittsburgh,PIT,Pittsburgh International Airport,United States,US,67,PIT
167584,PNS,0.12217194570135746,WN,2066.0,BNA,20180106,sat,900,854,1020,1007,80,73,-6,-13,-7,902,1002,N7852A,,0,0,0,0,0,0,0,0,0,jan,0,late_morning,Pensacola Regional Airport,Pensacola,United States,PNS,30.47340012,-87.18659973,Pensacola,PNS,Regional,United States,US,67,PNS
167805,PSE,-7.5476190476190474,B6,746.0,JFK,20180228,wed,503,453,813,830,250,277,-10,17,27,511,818,N663JB,,0,0,17,0,0,0,0,0,0,feb,1,early_morning,Mercedita Airport,Ponce,Puerto Rico,PSE,18.00830078,-66.56300354,Ponce,PSE,Mercedita,Puerto Rico,PR,3,PSE
167847,PSG,-6.2407407407407405,AS,65.0,JNU,20180223,fri,1213,1159,1254,1240,41,41,-14,-14,0,1212,1237,N614AS,,0,0,0,0,0,0,0,0,0,feb,0,early_afternoon,Petersburg James A Johnson Airport,Petersburg,United States,PSG,56.80170059,-132.9450073,Petersburg,PSG,Municipal,United States,US,67,PSG
167901,PSP,18.265372168284788,AA,2307.0,DFW,20180226,mon,1420,1421,1913,1902,173,161,1,-11,-12,1441,1847,N973NN,,0,0,0,0,0,0,0,0,0,feb,0,early_afternoon,Palm Springs International Airport,Palm Springs,United States,PSP,33.82970047,-116.50700379999999,Palm Springs,PSP,Municipal,United States,US,67,PSP
168210,PVD,2.966159052453469,AA,4472.0,PHL,20180105,fri,1300,1256,1423,1424,83,88,-4,1,5,1315,1418,N104HQ,,0,0,0,0,0,0,0,0,0,jan,1,early_afternoon,Theodore Francis Green State Airport,Providence,United States,PVD,41.732601,-71.42040300000001,Providence,PVD,T. F. Green Airport,United States,US,67,PVD
168801,PWM,2.683291770573566,AA,4279.0,PHL,20180106,sat,1250,1243,1428,1405,98,82,-7,-23,-16,1253,1359,N449AW,,0,0,0,0,0,0,0,0,0,jan,0,early_afternoon,Portland International Jetport Airport,Portland,United States,PWM,43.64619827,-70.30930328,Portland,PWM,Intl Jetport,United States,US,67,PWM
169202,RAP,11.859504132231406,UA,4705.0,DEN,20180206,tue,1155,1155,1313,1315,78,80,0,2,2,1214,1307,N13123,,0,0,0,0,0,0,0,0,0,feb,1,late_morning,Rapid City Regional Airport,Rapid City,United States,RAP,44.04529953,-103.0569992,Rapid City,RAP,Regional,United States,US,67,RAP
169323,RDU,0.716021602160216,AA,1861.0,CLT,20180210,sat,1939,1933,2047,2043,68,70,-6,-4,2,1954,2033,N953UW,,0,0,0,0,0,0,0,0,0,feb,0,evening,Raleigh Durham International Airport,Raleigh-durham,United States,RDU,35.87760162,-78.78749847,Raleigh/Durham,RDU,Raleigh-Durham International Airport,United States,US,67,RDU
171545,RIC,5.037698412698413,AA,2314.0,DFW,20180227,tue,707,658,940,942,213,224,-9,2,11,714,925,N952AA,,0,0,0,0,0,0,0,0,0,feb,1,morning,Richmond International Airport,Richmond,United States,RIC,37.50519943,-77.31970215,Richmond,RIC,Intl (Byrd Field),United States,US,67,RIC
172049,RNO,3.469437652811736,AA,2409.0,DFW,20180209,fri,1355,1354,1912,1905,197,191,-1,-7,-6,1408,1843,N995NN,,0,0,0,0,0,0,0,0,0,feb,0,early_afternoon,Reno Tahoe International Airport,Reno,United States,RNO,39.49909973,-119.7679977,,,,,,,
172458,ROA,24.19298245614035,UA,3823.0,ORD,20180101,mon,1720,1823,1826,1915,126,112,63,49,-14,1836,1907,N420AW,,0,0,0,0,49,0,0,0,0,jan,1,late_afternoon,Roanokeâ€“Blacksburg Regional Airport,Roanoke VA,United States,ROA,37.3255,-79.975403,Roanoke,ROA,Municipal,United States,US,67,ROA
172572,ROC,9.705479452054794,WN,763.0,BWI,20180113,sat,600,0,725,0,85,0,0,0,0,0,0,,B,0,0,0,0,0,0,0,0,0,jan,0,morning,Greater Rochester International Airport,Rochester,United States,ROC,43.1189003,-77.67240143,Rochester,ROC,Monroe County,United States,US,67,ROC
173156,ROP,-4.857142857142857,UA,6391.0,GUM,20180215,thu,1435,1435,1510,1515,35,40,0,5,5,1445,1510,N45838,,0,0,0,0,0,0,0,0,0,feb,1,early_afternoon,Rota International Airport,Rota,Northern Mariana Islands,ROP,14.17430019,145.2429962,Rota,ROP,Rota,Northern Mariana Islands,MP,5,ROP
