Airport Name,City name,Country name,Dep_Airport,Arr_Airport,lat,lng
Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,YHY,60.83969879,-115.7829971
Halifax / Stanfield International Airport,Halifax,Canada,YHZ,YHZ,44.88079834,-63.50859833
Atikokan Municipal Airport,Atikokan,Canada,YIB,YIB,48.77389908,-91.63860321
Pond Inlet Airport,Pond Inlet,Canada,YIO,YIO,72.6832962,-77.96669769
St Jean Airport,St. Jean,Canada,YJN,YJN,45.29439926,-73.28109741
Stephenville Airport,Stephenville,Canada,YJT,YJT,48.5442009,-58.54999924
Kamloops Airport,Kamloops,Canada,YKA,YKA,50.70220184,-120.4440002
Waterloo Airport,Waterloo,Canada,YKF,YKF,43.46080017,-80.37860107
Schefferville Airport,Schefferville,Canada,YKL,YKL,54.80530167,-66.80529785
Kindersley Airport,Kindersley,Canada,YKY,YKY,51.51750183,-109.1809998
Buttonville Municipal Airport,Toronto,Canada,YKZ,YKZ,43.86220169,-79.37000275
Chapleau Airport,Chapleau,Canada,YLD,YLD,47.81999969,-83.34670258
Meadow Lake Airport,Meadow Lake,Canada,YLJ,YLJ,54.12530136,-108.5230026
Lloydminster Airport,Lloydminster,Canada,YLL,YLL,53.30920029,-110.072998
Alert Airport,Alert,Canada,YLT,YLT,82.51779938,-62.2806015
Kelowna International Airport,Kelowna,Canada,YLW,YLW,49.95610046,-119.3779984
Mayo Airport,Mayo,Canada,YMA,YMA,63.61640167,-135.8679962
Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,YMJ,50.33029938,-105.5589981
Fort McMurray Airport,Fort Mcmurray,Canada,YMM,YMM,56.65330124,-111.2220001
Moosonee Airport,Moosonee,Canada,YMO,YMO,51.29109955,-80.60780334
Maniwaki Airport,Maniwaki,Canada,YMW,YMW,46.27280045,-75.99060059
Montreal International (Mirabel) Airport,Montreal,Canada,YMX,YMX,45.679501,-74.038696
Natashquan Airport,Natashquan,Canada,YNA,YNA,50.18999863,-61.78919983
Ottawa / Gatineau Airport,Gatineau,Canada,YND,YND,45.52170181,-75.56359863
Matagami Airport,Matagami,Canada,YNM,YNM,49.76169968,-77.80280304
Old Crow Airport,Old Crow,Canada,YOC,YOC,67.57060242,-139.8390045
CFB Cold Lake,Cold Lake,Canada,YOD,YOD,54.40499878,-110.2789993
High Level Airport,High Level,Canada,YOJ,YOJ,58.62139893,-117.1650009
Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,YOW,45.32249832,-75.66919708
Prince Albert Glass Field,Prince Albert,Canada,YPA,YPA,53.21419907,-105.6729965
Peace River Airport,Peace River,Canada,YPE,YPE,56.226898,-117.446999
Southport Airport,Portage-la-prairie,Canada,YPG,YPG,49.903099,-98.273817
Pitt Meadows Airport,Pitt Meadows,Canada,\N,\N,49.21609879,-122.7099991
Pickle Lake Airport,Pickle Lake,Canada,YPL,YPL,51.44639969,-90.21420288
Port Menier Airport,Port Menier,Canada,YPN,YPN,49.83639908,-64.28859711
Peterborough Airport,Peterborough,Canada,YPQ,YPQ,44.22999954,-78.36329651
Prince Rupert Airport,Prince Pupert,Canada,YPR,YPR,54.28609848,-130.4450073
Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,YPY,58.76720047,-111.1169968
Muskoka Airport,Muskoka,Canada,YQA,YQA,44.97470093,-79.30329895
Quebec Jean Lesage International Airport,Quebec,Canada,YQB,YQB,46.7911,-71.393303
Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,YQF,52.18220139,-113.8939972
Windsor Airport,Windsor,Canada,YQG,YQG,42.27560043,-82.95559692
Watson Lake Airport,Watson Lake,Canada,YQH,YQH,60.11640167,-128.8220062
Kenora Airport,Kenora,Canada,YQK,YQK,49.78829956,-94.36309814
Lethbridge County Airport,Lethbridge,Canada,YQL,YQL,49.63029861,-112.8000031
Greater Moncton International Airport,Moncton,Canada,YQM,YQM,46.11220169,-64.6785965
Comox Airport,Comox,Canada,YQQ,YQQ,49.71080017,-124.887001
Regina International Airport,Regina,Canada,YQR,YQR,50.43190002,-104.6660004
Thunder Bay Airport,Thunder Bay,Canada,YQT,YQT,48.37189865,-89.32389832
Grande Prairie Airport,Grande Prairie,Canada,YQU,YQU,55.17969894,-118.8850021
Yorkton Municipal Airport,Yorkton,Canada,YQV,YQV,51.26470184,-102.461998
North Battleford Airport,North Battleford,Canada,YQW,YQW,52.76919937,-108.2440033
Gander International Airport,Gander,Canada,YQX,YQX,48.93690109,-54.56809998
Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,YQY,46.1614,-60.047798
Quesnel Airport,Quesnel,Canada,YQZ,YQZ,53.02610016,-122.5100021
Resolute Bay Airport,Resolute,Canada,YRB,YRB,74.71690369,-94.9693985
RiviÃ¨re-du-Loup Airport,Riviere Du Loup,Canada,YRI,YRI,47.76440048,-69.58470154
Roberval Airport,Roberval,Canada,YRJ,YRJ,48.52000046,-72.26560211
Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM,YRM,52.42969894,-114.9039993
Rankin Inlet Airport,Rankin Inlet,Canada,YRT,YRT,62.81140137,-92.11579895
Sudbury Airport,Sudbury,Canada,YSB,YSB,46.625,-80.79889679
Sherbrooke Airport,Sherbrooke,Canada,YSC,YSC,45.43859863,-71.69139862
Saint John Airport,St. John,Canada,YSJ,YSJ,45.31610107,-65.89029694
Fort Smith Airport,Fort Smith,Canada,YSM,YSM,60.02030182,-111.961998
Nanisivik Airport,Nanisivik,Canada,YSR,YSR,72.982201,-84.613602
Summerside Airport,Summerside,Canada,YSU,YSU,46.44060135,-63.83359909
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,YSY,71.99389648,-125.2429962
Cape Dorset Airport,Cape Dorset,Canada,YTE,YTE,64.23000336,-76.52670288
Thompson Airport,Thompson,Canada,YTH,YTH,55.80110168,-97.86419678
CFB Trenton,Trenton,Canada,YTR,YTR,44.1189003,-77.52809906
Timmins/Victor M. Power,Timmins,Canada,YTS,YTS,48.56969833,-81.37670136
Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,YTZ,43.627499,-79.396202
Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,YUB,69.4332962,-133.026001
Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,YUL,45.47060013,-73.74079895
Repulse Bay Airport,Repulse Bay,Canada,YUT,YUT,66.52140045,-86.22470093
Hall Beach Airport,Hall Beach,Canada,YUX,YUX,68.77610016,-81.2425
Rouyn Noranda Airport,Rouyn,Canada,YUY,YUY,48.20610046,-78.83560181
La Ronge Airport,La Ronge,Canada,YVC,YVC,55.15140152,-105.262001
Vermilion Airport,Vermillion,Canada,YVG,YVG,53.35580063,-110.8239975
Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,YVM,67.54579926,-64.03140259
Val-d'Or Airport,Val D'or,Canada,YVO,YVO,48.05329895,-77.78279877
Kuujjuaq Airport,Quujjuaq,Canada,YVP,YVP,58.09609985,-68.42690277
Norman Wells Airport,Norman Wells,Canada,YVQ,YVQ,65.28160095,-126.7979965
Vancouver International Airport,Vancouver,Canada,YVR,YVR,49.19390106,-123.1839981
Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT,YVT,55.84189987,-108.4179993
Wiarton Airport,Wiarton,Canada,YVV,YVV,44.7458,-81.107201
Petawawa Airport,Petawawa,Canada,YWA,YWA,45.95220184,-77.31919861
Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,YWG,49.90999985,-97.23989868
Wabush Airport,Wabush,Canada,YWK,YWK,52.9219017,-66.86440277
Williams Lake Airport,Williams Lake,Canada,YWL,YWL,52.18310165,-122.0540009
Wrigley Airport,Wrigley,Canada,YWY,YWY,63.20940018,-123.4369965
Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,YXC,49.6108017,-115.7819977
Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD,YXD,53.57249832,-113.5210037
Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,YXE,52.17079926,-106.6999969
Medicine Hat Airport,Medicine Hat,Canada,YXH,YXH,50.01890182,-110.7210007
Fort St John Airport,Fort Saint John,Canada,YXJ,YXJ,56.23809814,-120.7399979
Sioux Lookout Airport,Sioux Lookout,Canada,YXL,YXL,50.11389923,-91.90529633
Pangnirtung Airport,Pangnirtung,Canada,YXP,YXP,66.14499664,-65.71360016
Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR,YXR,47.69740065,-79.84734535
Prince George Airport,Prince George,Canada,YXS,YXS,53.88940048,-122.6790009
Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,YXT,54.468498,-128.576009
London Airport,London,Canada,YXU,YXU,43.035599,-81.1539
Abbotsford Airport,Abbotsford,Canada,YXX,YXX,49.02529907,-122.3610001
Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,YXY,60.70959854,-135.0670013
North Bay Jack Garland Airport,North Bay,Canada,YYB,YYB,46.363602,-79.422798
Calgary International Airport,Calgary,Canada,YYC,YYC,51.11389923,-114.0199966
Smithers Airport,Smithers,Canada,YYD,YYD,54.8246994,-127.1829987
Fort Nelson Airport,Fort Nelson,Canada,YYE,YYE,58.83639908,-122.5970001
Penticton Airport,Penticton,Canada,YYF,YYF,49.46310043,-119.6019974
Charlottetown Airport,Charlottetown,Canada,YYG,YYG,46.29000092,-63.12110138
Taloyoak Airport,Spence Bay,Canada,YYH,YYH,69.54669952,-93.5766983
Victoria International Airport,Victoria,Canada,YYJ,YYJ,48.64690018,-123.4260025
Lynn Lake Airport,Lynn Lake,Canada,YYL,YYL,56.86389923,-101.0759964
Swift Current Airport,Swift Current,Canada,YYN,YYN,50.29190063,-107.6910019
Churchill Airport,Churchill,Canada,YYQ,YYQ,58.73920059,-94.06500244
Goose Bay Airport,Goose Bay,Canada,YYR,YYR,53.31919861,-60.42580032
St. John's International Airport,St. John's,Canada,YYT,YYT,47.61859894,-52.75189972
Kapuskasing Airport,Kapuskasing,Canada,YYU,YYU,49.41389847,-82.46749878
Armstrong Airport,Armstrong,Canada,YYW,YYW,50.29029846,-88.90969849
Mont Joli Airport,Mont Joli,Canada,YYY,YYY,48.60860062,-68.20809937
Lester B. Pearson International Airport,Toronto,Canada,YYZ,YYZ,43.67720032,-79.63059998
Downsview Airport,Toronto,Canada,YZD,YZD,43.74250031,-79.46559906
Gore Bay Manitoulin Airport,Gore Bay,Canada,YZE,YZE,45.88529968,-82.56780243
Yellowknife Airport,Yellowknife,Canada,YZF,YZF,62.46279907,-114.4400024
Slave Lake Airport,Slave Lake,Canada,YZH,YZH,55.29309845,-114.7770004
Sandspit Airport,Sandspit,Canada,YZP,YZP,53.25429916,-131.8139954
Chris Hadfield Airport,Sarnia,Canada,YZR,YZR,42.99940109,-82.30889893
Port Hardy Airport,Port Hardy,Canada,YZT,YZT,50.68059921,-127.3669968
Whitecourt Airport,Whitecourt,Canada,YZU,YZU,54.14390182,-115.7870026
Sept-ÃŽles Airport,Sept-iles,Canada,YZV,YZV,50.22330093,-66.26560211
Teslin Airport,Teslin,Canada,YZW,YZW,60.17279816,-132.7429962
CFB Greenwood,Greenwood,Canada,YZX,YZX,44.9844017,-64.91690063
Faro Airport,Faro,Canada,ZFA,ZFA,62.20750046,-133.3760071
Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM,ZFM,67.40750122,-134.8609924
Blida Airport,Blida,Algeria,QLD,QLD,36.50360107,2.814169884
Bou Saada Airport,Bou Saada,Algeria,BUJ,BUJ,35.33250046,4.206389904
Soummam Airport,Bejaja,Algeria,BJA,BJA,36.7120018,5.069920063
Houari Boumediene Airport,Algier,Algeria,ALG,ALG,36.69100189,3.215409994
Djanet Inedbirene Airport,Djanet,Algeria,DJG,DJG,24.292801,9.45244
Boufarik Airport,Boufarik,Algeria,\N,\N,36.545799,2.87611
Reggane Airport,Reggan,Algeria,\N,\N,26.7101,0.285647
Illizi Takhamalt Airport,Illizi,Algeria,VVZ,VVZ,26.7234993,8.622650146
Ain Oussera Airport,Ain Oussera,Algeria,\N,\N,35.52539825,2.878710032
Aguenar â€“ Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,TMR,22.81150055,5.451079845
Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL,GJL,36.79510117,5.87361002
Mecheria Airport,Mecheria,Algeria,MZW,MZW,33.53590012,-0.242353007
Relizane Airport,Relizane,Algeria,\N,\N,35.752201,0.626272
Rabah Bitat Airport,Annaba,Algeria,AAE,AAE,36.822201,7.809174
Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,CZL,36.27600098,6.620389938
Cheikh Larbi TÃ©bessi Airport,Tebessa,Algeria,TEE,TEE,35.43159866,8.12071991
Hassi R'Mel Airport,Tilrempt,Algeria,HRM,HRM,32.93040085,3.311539888
Bou Chekif Airport,Tiaret,Algeria,TID,TID,35.34109879,1.463150024
Bou Sfer Airport,Bou Sfer,Algeria,\N,\N,35.73540115,-0.805388987
Tindouf Airport,Tindouf,Algeria,TIN,TIN,27.7003994,-8.167099953
Ech Cheliff Airport,Ech-cheliff,Algeria,CFK,CFK,36.21269989,1.331769943
Tafaraoui Airport,Oran,Algeria,TAF,TAF,35.54240036,-0.532278001
Zenata â€“ Messali El Hadj Airport,Tlemcen,Algeria,TLM,TLM,35.01670074,-1.450000048
Es Senia Airport,Oran,Algeria,ORN,ORN,35.62390137,-0.621182978
Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,BFW,BFW,35.17179871,-0.593275011
Ghriss Airport,Ghriss,Algeria,MUW,MUW,35.20769882,0.147141993
Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,AZR,27.83760071,-0.186414003
Biskra Airport,Biskra,Algeria,BSK,BSK,34.79330063,5.738230228
El Golea Airport,El Golea,Algeria,ELG,ELG,30.57130051,2.859590054
NoumÃ©rat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,GHA,32.38410187,3.79411006
Oued Irara Airport,Hassi Messaoud,Algeria,HME,HME,31.67300034,6.140439987
In Salah Airport,In Salah,Algeria,INZ,INZ,27.25099945,2.512020111
Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,TGR,33.06779861,6.088669777
Laghouat Airport,Laghouat,Algeria,LOO,LOO,33.76440048,2.928339958
Timimoun Airport,Timimoun,Algeria,TMX,TMX,29.2371006,0.276033014
Ain el Beida Airport,Ouargla,Algeria,OGX,OGX,31.91720009,5.412779808
In AmÃ©nas Airport,Zarzaitine,Algeria,IAM,IAM,28.0515,9.64291
Cadjehoun Airport,Cotonou,Benin,COO,COO,6.357230186,2.384350061
Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,OUA,12.3532,-1.51242
Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY,BOY,11.16009998,-4.33096981
Kotoka International Airport,Accra,Ghana,ACC,ACC,5.6051898,-0.166786
Tamale Airport,Tamale,Ghana,TML,TML,9.557189941,-0.863214016
Wa Airport,Wa,Ghana,\N,\N,10.08269978,-2.507689953
Sunyani Airport,Sunyani,Ghana,NYI,NYI,7.361830235,-2.328759909
Takoradi Airport,Takoradi,Ghana,TKD,TKD,4.89605999,-1.774760008
Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,ABJ,5.261390209,-3.926290035
BouakÃ© Airport,Bouake,Cote d'Ivoire,BYK,BYK,7.738800049,-5.07366991
Daloa Airport,Daloa,Cote d'Ivoire,DJO,DJO,6.792809963,-6.473189831
Korhogo Airport,Korhogo,Cote d'Ivoire,HGO,HGO,9.387180328,-5.556660175
Man Airport,Man,Cote d'Ivoire,MJC,MJC,7.272069931,-7.587359905
San Pedro Airport,San Pedro,Cote d'Ivoire,SPY,SPY,4.746719837,-6.660820007
Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK,ASK,6.903170109,-5.365580082
Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,ABV,9.006790161,7.263169765
Akure Airport,Akure,Nigeria,AKR,AKR,7.246739864,5.301010132
Benin Airport,Benin,Nigeria,BNI,BNI,6.316979885,5.599500179
Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,CBQ,4.976019859,8.347200394
Akanu Ibiam International Airport,Enugu,Nigeria,ENU,ENU,6.474269867,7.56196022
Gusau Airport,Gusau,Nigeria,\N,\N,12.1717,6.69611
Ibadan Airport,Ibadan,Nigeria,IBA,IBA,7.362460136,3.978329897
Ilorin International Airport,Ilorin,Nigeria,ILR,ILR,8.440210342,4.493919849
Yakubu Gowon Airport,Jos,Nigeria,JOS,JOS,9.639829636,8.869050026
Kaduna Airport,Kaduna,Nigeria,KAD,KAD,10.6960001,7.320109844
Mallam Aminu International Airport,Kano,Nigeria,KAN,KAN,12.0476,8.52462
Maiduguri International Airport,Maiduguri,Nigeria,MIU,MIU,11.85529995,13.08090019
Makurdi Airport,Makurdi,Nigeria,MDI,MDI,7.70388,8.61394
Murtala Muhammed International Airport,Lagos,Nigeria,LOS,LOS,6.577370167,3.321160078
Minna Airport,Minna,Nigeria,MXJ,MXJ,9.652170181,6.462259769
Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC,PHC,5.015490055,6.949590206
Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO,SKO,12.91629982,5.207190037
Yola Airport,Yola,Nigeria,YOL,YOL,9.25755024,12.43039989
Zaria Airport,Zaria,Nigeria,ZAR,ZAR,11.1302,7.68581
Maradi Airport,Maradi,Niger,MFQ,MFQ,13.50249958,7.126749992
Diori Hamani International Airport,Niamey,Niger,NIM,NIM,13.4815,2.18361
Tahoua Airport,Tahoua,Niger,THZ,THZ,14.8757,5.265359879
Mano Dayak International Airport,Agadez,Niger,AJY,AJY,16.9659996,8.000109673
Dirkou Airport,Dirkou,Niger,\N,\N,18.96870041,12.86870003
Diffa Airport,Diffa,Niger,\N,\N,13.37290001,12.6267004
Zinder Airport,Zinder,Niger,ZND,ZND,13.77900028,8.98375988
Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR,MIR,35.7580986,10.75469971
Tunis Carthage International Airport,Tunis,Tunisia,TUN,TUN,36.85100174,10.22719955
Sidi Ahmed Air Base,Bizerte,Tunisia,\N,\N,37.245398,9.79145
Remada Air Base,Remada,Tunisia,\N,\N,32.30619812,10.38210011
Gafsa Ksar International Airport,Gafsa,Tunisia,GAF,GAF,34.42200089,8.822500229
GabÃ¨s Matmata International Airport,Gabes,Tunisia,GAE,GAE,33.87689972,10.10330009
Borj El Amri Airport,Bordj El Amri,Tunisia,\N,\N,36.72129822,9.943149567
Djerba Zarzis International Airport,Djerba,Tunisia,DJE,DJE,33.875,10.7755003
El Borma Airport,El Borma,Tunisia,EBM,EBM,31.70429993,9.254619598
Sfax Thyna International Airport,Sfax,Tunisia,SFA,SFA,34.7179985,10.69099998
Tozeur Nefta International Airport,Tozeur,Tunisia,TOE,TOE,33.93970108,8.110560417
Niamtougou International Airport,Niatougou,Togo,LRL,LRL,9.76733017,1.091249943
LomÃ©-Tokoin Airport,Lome,Togo,LFW,LFW,6.165609837,1.254510045
Antwerp International Airport (Deurne),Antwerp,Belgium,ANR,ANR,51.18939972,4.460279942
Beauvechain Air Base,Beauvechain,Belgium,\N,\N,50.75859833,4.768330097
Kleine Brogel Air Base,Kleine Brogel,Belgium,\N,\N,51.168301,5.47
Brussels Airport,Brussels,Belgium,BRU,BRU,50.90140152,4.48443985
Jehonville Air Base,Bertrix,Belgium,\N,\N,49.89170074,5.223889828
Brussels South Charleroi Airport,Charleroi,Belgium,CRL,CRL,50.459202,4.45382
ChiÃ¨vres Air Base,Chievres,Belgium,\N,\N,50.57580185,3.83100009
Koksijde Air Base,Koksijde,Belgium,\N,\N,51.09030151,2.652780056
Florennes Air Base,Florennes,Belgium,\N,\N,50.24330139,4.645830154
Wevelgem Airport,Kortrijk-vevelgem,Belgium,KJK,KJK,50.81719971,3.20472002
LiÃ¨ge Airport,Liege,Belgium,LGG,LGG,50.63740158,5.443220139
Ostend-Bruges International Airport,Ostend,Belgium,OST,OST,51.19889832,2.862220049
Zutendaal Air Base,Zutendaal,Belgium,\N,\N,50.94749832,5.590559959
Brustem Airfield Sint Truiden,Sint-truiden,Belgium,\N,\N,50.791901,5.20167
Saint Hubert Air Base,St.-hubert,Belgium,\N,\N,50.03440094,5.440810204
Ursel Air Base,Ursel,Belgium,\N,\N,51.14419937,3.47555995
Weelde Air Base,Weelde,Belgium,\N,\N,51.39479828,4.960189819
Zoersel (Oostmalle) Airfield,Zoersel,Belgium,OBL,OBL,51.264702,4.75333
Flugplatz Bautzen,Bautzen,Germany,\N,\N,51.193611,14.519722
Altenburg-Nobitz Airport,Altenburg,Germany,AOC,AOC,50.981945,12.506389
Dessau Airfield,Dessau,Germany,\N,\N,51.831694,12.190962
EisenhÃ¼ttenstadt Airfield,Eisenhuettenstadt,Germany,\N,\N,52.195856,14.58753
GroÃŸenhain Airport,Suhl,Germany,\N,\N,51.30805588,13.5555563
Merseburg Airport,Muehlhausen,Germany,\N,\N,51.3630556,11.9408333
Halle-Oppin Airport,Halle,Germany,\N,\N,51.552223,12.053889
Riesa-GÃ¶hlis Airport,Riesa,Germany,IES,IES,51.29360962,13.35611057
Rechlin-LÃ¤rz Airport,Rechlin-laerz,Germany,REB,REB,53.30638886,12.75222206
